chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
11	27700001	27750000	11	27700001	29420000	1720000	50000	5.626092050150887	96.0%	0.04654809619238477	6.112134992024785
11	36250001	36290000	11	35510001	36290000	780000	40000	10.831224133057061	96.0%	0.0275	3.9126571502051877
11	128020001	128070000	11	128020001	128730000	710000	50000	11.879579339034647	96.0%	0.09018036072144289	3.8142281442160932
11	76370001	76410000	11	75910001	76410000	500000	40000	17.8093532776894	98.0%	0.023547094188376756	3.6099363069250554
11	10730001	10770000	11	9770001	10770000	1000000	40000	10.17550656677937	95.0%	0.07958016032064127	2.7277173368208176
11	2150001	2200000	11	1680001	2200000	520000	50000	17.979695643258133	95.0%	0.0155	2.592510990047644
11	19570001	19620000	11	19570001	19940000	370000	50000	19.129661440052523	98.0%	0.036	2.340162489661367
11	96070001	96140000	11	95500001	96140000	640000	70000	12.618317090116408	99.0%	0.0945	2.3131503049764937
11	72110001	72150000	11	71680001	72150000	470000	40000	16.841752643979753	98.0%	0.032	2.116111287765646
11	109800001	109840000	11	109800001	110300000	500000	40000	13.078974253789761	96.0%	0.0315	2.103488193919573
11	127880001	127920000	11	127880001	128830000	950000	40000	7.545222538114065	95.0%	0.050100200400801605	1.977092008519604
11	114090001	114140000	11	113710001	114140000	430000	50000	17.214829898272733	98.0%	0.052	1.966791311478203
11	12890001	12930000	11	12340001	12930000	590000	40000	14.34656157711428	97.0%	0.036	1.9436365053733544
11	63890001	63940000	11	63510001	63940000	430000	50000	21.007084602006085	96.0%	0.036	1.813832055269352
11	78230001	78290000	11	77580001	78290000	710000	60000	11.064196414551263	97.0%	0.056	1.3257573312540765
11	19070001	19110000	11	19070001	19580000	510000	40000	12.568900281010299	97.0%	0.09318637274549098	1.1047803065847888
11	111420001	111490000	11	111420001	111950000	530000	70000	13.075860788726718	97.0%	0.077	1.0727378920925028
11	66560001	66610000	11	66130001	66610000	480000	50000	19.519485293049396	97.0%	0.08309318637274549	0.9932633457513002
11	119500001	119540000	11	119500001	120000000	500000	40000	14.318132784063772	97.0%	0.052549098196392786	0.7593577455300987
11	102890001	102940000	11	102590001	102940000	350000	50000	17.020225525903648	97.0%	0.097	0.4408925266541738
11	86510001	86550000	11	86100001	86550000	450000	40000	16.275073617897213	98.0%	0.036	0.3915136900944156
11	44890001	44930000	11	44580001	44930000	350000	40000	22.270728189258364	98.0%	0.06713426853707415	0.3783728591197282
11	69430001	69460000	11	69030001	69460000	430000	30000	20.30866609291551	99.0%	0.052104208416833664	0.3567516048281532
11	3370001	3440000	11	2910001	3440000	530000	70000	17.207775106024634	97.0%	0.018036072144288578	-1.626057106046434
