chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
X	1330001	1360000	X	1330001	1780000	450000	30000	6.1189233045271925	95.0%	0.42384769539078154	-2.804385588300483
X	2390001	2430000	X	1860001	2430000	570000	40000	5.933004242690015	95.0%	0.85	-5.2832479375188
X	610001	680000	X	610001	890000	280000	70000	9.948291021779221	95.0%	0.625	-1.9828614839432337
X	1420001	1460000	X	200001	1460000	1260000	40000	3.066518442135472	95.0%	0.6978957915831663	-4.410399755921319
X	550001	600000	X	550001	890000	340000	50000	8.28672751590974	95.0%	0.740249498997996	-3.621536913805316
X	1470001	1510000	X	180001	1510000	1330000	40000	3.3730445119289603	95.0%	0.6953907815631263	-3.200087503376887
X	2740001	2780000	X	2740001	3210000	470000	40000	5.245823817926334	95.0%	0.7905811623246493	-2.740969811212079
X	1550001	1600000	X	1550001	2010000	460000	50000	6.2513722916335315	95.0%	0.5686372745490982	-1.914224797768187
X	3650001	3710000	X	2970001	3710000	740000	60000	4.285501916781825	95.0%	0.3498376753507014	-1.2975608249643773
X	2430001	2470000	X	1580001	2470000	890000	40000	4.526749327457299	95.0%	0.77	-10.667335094063466
X	3530001	3570000	X	2740001	3570000	830000	40000	4.068004441891447	95.0%	0.5190380761523046	-3.008296121040374
X	3580001	3640000	X	2740001	3640000	900000	60000	3.3292907806836225	95.0%	0.9198396793587175	-6.369083970373534
X	1030001	1200000	X	1030001	2190000	1160000	170000	1.7484331327130995	95.0%	0.9654659318637274	-0.0
X	1210001	1320000	X	1210001	2190000	980000	110000	3.452742104213885	95.0%	0.9148296593186372	-4.642629828393984
X	8640001	8690000	X	7990001	8690000	700000	50000	4.076749246078481	95.0%	0.66	-3.535942542183293
X	8700001	8740000	X	8130001	8740000	610000	40000	3.918570792182424	95.0%	0.746	-2.3252505322647377
X	5630001	5700000	X	5330001	5700000	370000	70000	5.243657900031599	95.0%	0.8226452905811623	-1.2707908067970624
X	6920001	6970000	X	6920001	7460000	540000	50000	4.274755326194439	95.0%	0.597	-1.4096131781177295
X	7860001	7900000	X	6990001	7900000	910000	40000	2.449080968521973	95.0%	0.653	-1.4243449939974133
X	7110001	7170000	X	6720001	7170000	450000	60000	4.335201082771299	95.0%	0.8557114228456913	-2.144072201842902
X	7950001	7990000	X	7950001	8930000	980000	40000	3.0197653642544746	95.0%	0.33632765531062125	-1.370565276892063
X	9160001	9190000	X	8890001	9190000	300000	30000	7.691064155351569	95.0%	0.874749498997996	-4.020507394947802
X	8770001	8840000	X	8770001	9140000	370000	70000	6.106844308262425	95.0%	0.663	-1.5622117807020597
X	8850001	8900000	X	8850001	9340000	490000	50000	5.309685604324385	95.0%	0.7324649298597194	-2.983650558729108
X	7800001	7850000	X	7450001	7850000	400000	50000	5.52451751842616	95.0%	0.7645	-1.4863156600566652
X	7060001	7090000	X	7060001	7840000	780000	30000	2.7326892451504343	95.0%	0.6812004008016033	-1.7750537755543436
X	8150001	8180000	X	8150001	8700000	550000	30000	4.36437043921815	95.0%	0.7044088176352705	-3.1211506241318143
X	10400001	10440000	X	10400001	10960000	560000	40000	5.355639068036785	95.0%	0.7275	-3.7727055111740975
X	10700001	10790000	X	10140001	10790000	650000	90000	4.2101378257081095	95.0%	0.96	-4.665582934090703
X	12350001	12400000	X	12350001	12710000	360000	50000	6.000376562834249	95.0%	0.9	-3.6792822191600023
X	12750001	12790000	X	11970001	12790000	820000	40000	3.4949643093050993	95.0%	0.7022064128256513	-3.855018454799433
X	10320001	10390000	X	10320001	10670000	350000	70000	7.2487761855053625	95.0%	0.874	-2.869443028025404
X	12140001	12180000	X	12140001	12680000	540000	40000	5.035414537281552	95.0%	0.6575	-4.241381703110053
X	12200001	12260000	X	12200001	12680000	480000	60000	5.685206044689749	95.0%	0.8383336673346693	-4.7408837083447635
X	9860001	9930000	X	9430001	9930000	500000	70000	6.104368642873075	95.0%	0.7635000000000001	-2.614076611480812
X	9670001	9710000	X	9670001	10110000	440000	40000	5.810338835511598	95.0%	0.6482965931863727	-2.9047615350105134
X	11770001	11810000	X	11360001	11810000	450000	40000	5.047337772729409	95.0%	0.6803607214428857	-1.7126880352396676
X	12280001	12340000	X	12280001	12700000	420000	60000	6.262510720219304	95.0%	0.5965420841683367	-1.6596519211371779
X	11780001	11820000	X	11780001	12500000	720000	40000	3.7432391940574448	95.0%	0.58412625250501	-2.304880981398062
X	12910001	12940000	X	12910001	13840000	930000	30000	3.0005812188159333	95.0%	0.9048096192384769	-6.470744992192466
X	14140001	14210000	X	14140001	15260000	1120000	70000	3.2149079073837252	95.0%	0.7897805611222445	-8.906105780126229
X	13360001	13430000	X	13020001	13430000	410000	70000	7.328776672658245	95.0%	0.8366733466933868	-4.9677522613238345
X	15080001	15140000	X	14130001	15140000	1010000	60000	3.315017773305797	95.0%	0.591	-5.900118125810867
X	13680001	13740000	X	13080001	13740000	660000	60000	3.7750272599311803	95.0%	0.6901773547094188	-1.781892894261957
X	15150001	15200000	X	14240001	15200000	960000	50000	2.9572064099942867	95.0%	0.814629258517034	-4.823907370187356
X	14640001	14700000	X	14640001	15150000	510000	60000	4.763025688579851	95.0%	0.6513026052104208	-2.5878047525488546
