chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
X	1920001	1980000	X	670001	1980000	1310000	60000	14.707661688991047	95.0%	0.6260593220338984	-2.384065202377282
X	1850001	1910000	X	740001	1910000	1170000	60000	15.493517102466237	95.0%	0.6271186440677966	-2.6995996494475714
X	420001	460000	X	420001	2130000	1710000	40000	12.599413051670146	95.0%	0.6592592592592592	-5.38540385786695
X	2220001	2260000	X	1680001	2260000	580000	40000	26.505254211095874	95.0%	0.8549513496547395	-3.18078078050677
X	1460001	1530000	X	1460001	2460000	1000000	70000	18.797099970866963	95.0%	0.9275132275132275	-3.3845752428427627
X	1740001	1780000	X	170001	1780000	1610000	40000	10.48550559170607	95.0%	0.8455026455026455	-3.112137544311087
X	2520001	2570000	X	770001	2570000	1800000	50000	11.0329389862405	95.0%	0.9137095327773295	-8.015954103918522
X	1580001	1610000	X	540001	1610000	1070000	30000	14.45323472198705	95.0%	0.736228813559322	-2.2300025588718992
X	1660001	1730000	X	180001	1730000	1550000	70000	12.26970002695	95.0%	0.6800847457627118	-2.4533890540261916
X	1220001	1320000	X	1220001	1890000	670000	100000	23.5386031732274	95.0%	0.9205508474576272	-2.6380428580907447
X	2160001	2200000	X	1740001	2200000	460000	40000	32.483398528243455	95.0%	0.7978835978835979	-3.0665497270498396
X	2630001	2660000	X	2630001	3610000	980000	30000	16.198948520248127	95.0%	0.7195767195767195	-1.383406357764024
X	2060001	2150000	X	1240001	2150000	910000	90000	19.622595072866172	95.0%	0.975635593220339	-2.7699264169934725
X	1330001	1370000	X	1330001	2850000	1520000	40000	10.375447845398138	95.0%	0.482521186440678	-2.787756368291443
X	4700001	4750000	X	3920001	4750000	830000	50000	15.826648778801484	95.0%	0.7722457627118644	-2.0477853810913738
X	5350001	5400000	X	4440001	5400000	960000	50000	14.265038560717372	95.0%	0.7690677966101696	-1.9261020087691534
X	6060001	6110000	X	5090001	6110000	1020000	50000	12.858550725315904	95.0%	0.6243386243386244	-1.48932769962759
X	4780001	4830000	X	4780001	5510000	730000	50000	17.448569889279568	95.0%	0.7754237288135594	-1.5100170817234686
X	4840001	4880000	X	4840001	5510000	670000	40000	18.182549925062155	95.0%	0.8306878306878307	-1.5736125291269365
X	5210001	5250000	X	4320001	5250000	930000	40000	13.878574195844028	95.0%	0.7033898305084746	-1.1921500072724163
X	6200001	6230000	X	4990001	6230000	1240000	30000	10.90386046579931	95.0%	0.8220338983050848	-1.9279566536522972
X	5030001	5070000	X	5030001	6390000	1360000	40000	10.035062568504827	95.0%	0.8512420410725495	-2.755730646443265
X	5330001	5360000	X	5330001	5880000	550000	30000	20.896544119225254	95.0%	0.8008474576271186	-1.2951070380594012
X	4580001	4610000	X	4070001	4610000	540000	30000	21.261619179330488	95.0%	0.7139830508474576	-1.0987530966519223
X	5460001	5500000	X	4080001	5500000	1420000	40000	9.959364077765969	95.0%	0.7542372881355932	-2.501998518052562
X	6140001	6180000	X	4620001	6180000	1560000	40000	9.02438510652106	95.0%	0.7005291005291006	-2.8123690632320826
X	5700001	5730000	X	5060001	5730000	670000	30000	18.666179957843124	95.0%	0.7298728813559322	-1.3928860827188587
X	5920001	5960000	X	4740001	5960000	1220000	40000	10.91018237370791	95.0%	0.7761904761904762	-2.221622528709548
X	4970001	5010000	X	4970001	6430000	1460000	40000	9.948931655748657	95.0%	0.6661375661375661	-1.9189499407709645
X	5610001	5650000	X	4840001	5650000	810000	40000	15.587939065816267	95.0%	0.7563559322033898	-1.510174103634571
X	3970001	4010000	X	3970001	4740000	770000	40000	16.97504574428978	95.0%	0.5021186440677966	-1.366301298194486
X	5570001	5610000	X	5050001	5610000	560000	40000	20.791622094283948	95.0%	0.6527194870415209	-1.0218157639993788
X	6450001	6490000	X	5700001	6490000	790000	40000	15.995196082059758	95.0%	0.8241525423728814	-1.9675516778942796
