chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
4	30001	70000	4	30001	600000	570000	40000	17.323834936556477	95.0%	0.984	-15.48129688616399
4	490001	550000	4	490001	980000	490000	60000	15.006706448233784	95.0%	0.684	-0.8633011071049501
4	560001	630000	4	560001	990000	430000	70000	15.535903713029592	95.0%	0.895	-2.2340955262715583
4	750001	790000	4	750001	1650000	900000	40000	10.337222410202592	95.0%	0.888	-4.102165384605973
4	1850001	1910000	4	1850001	2660000	810000	60000	9.952138313922282	95.0%	0.857	-1.9169026078958913
4	3970001	4000000	4	3400001	4000000	600000	30000	7.217956248948984	95.0%	0.972	-3.821609653404842
4	1960001	2000000	4	1960001	2730000	770000	40000	9.921264816358901	95.0%	0.94	-3.385111116823444
4	2590001	2650000	4	1730001	2650000	920000	60000	9.370903842153849	95.0%	0.784	-2.842052321510552
4	4410001	4450000	4	3550001	4450000	900000	40000	6.814493364877631	95.0%	0.706	-1.7375838642885506
4	1200001	1270000	4	1200001	1870000	670000	70000	12.453270347948147	95.0%	0.847	-3.8380239695024225
4	4090001	4160000	4	4090001	4350000	260000	70000	18.646120586989863	95.0%	0.7989999999999999	-2.147580028175448
4	2760001	2830000	4	2090001	2830000	740000	70000	10.063933554864205	95.0%	0.9524999999999999	-3.2786286209707987
4	1280001	1320000	4	1280001	1850000	570000	40000	13.195174322229304	95.0%	0.895	-4.551605718105015
4	2950001	2990000	4	2950001	4150000	1200000	40000	5.550380308514063	95.0%	0.8225	-2.030012847312875
4	3870001	3920000	4	3870001	4860000	990000	50000	5.74334419527206	95.0%	0.923	-1.764987625526261
4	4980001	5010000	4	4570001	5010000	440000	30000	9.630853127415405	95.0%	0.742	-1.345050516626168
4	6230001	6260000	4	5860001	6260000	400000	30000	12.034775982864192	95.0%	0.7164999999999999	-1.8119739782931188
4	6540001	6570000	4	5960001	6570000	610000	30000	9.771807240446927	95.0%	0.438	-1.477203506376193
4	3810001	3850000	4	3810001	4140000	330000	40000	16.70890102411621	95.0%	0.82	-2.5608406546316083
4	5810001	5850000	4	5810001	6510000	700000	40000	6.983086266337168	95.0%	0.7895000000000001	-1.5164289741720263
4	5010001	5050000	4	4450001	5050000	600000	40000	7.783459429148712	95.0%	0.7255	-1.3120621252463838
