chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
X	7950001	8100000	X	3850001	8100000	4250000	150000	16.805807652085864	95.0%	0.861	-8.403606555890752
X	2150001	2450000	X	450001	2450000	2000000	300000	57.88741491760836	95.0%	0.8629349349349349	-7.731469389666795
X	10000001	10300000	X	8600001	10300000	1700000	300000	47.04900080837586	95.0%	0.7358648648648649	-2.021732874429786
X	10400001	10600000	X	8100001	10600000	2500000	200000	37.1036160192138	95.0%	0.7298683683683684	-2.349287839543282
X	10100001	10250000	X	10100001	12600000	2500000	150000	38.394724105352026	95.0%	0.54004004004004	-1.5355861533297064
X	3100001	3400000	X	450001	3400000	2950000	300000	32.16039933895049	95.0%	0.5155155155155156	-2.233077274200749
X	10950001	11150000	X	8100001	11150000	3050000	200000	31.882528424961407	95.0%	0.508	-1.182144212232271
X	6900001	7100000	X	6900001	10150000	3250000	200000	23.717907277909916	95.0%	0.6276276276276276	-1.0352844504285466
X	2550001	2850000	X	500001	2850000	2350000	300000	44.75008625811696	95.0%	0.937	-4.936559950610588
X	3450001	3750000	X	200001	3750000	3550000	300000	30.212645844961433	95.0%	0.456	
X	14150001	14500000	X	4100001	14500000	10400000	350000	8.847767996498304	95.0%	0.62	-2.3399427333127876
X	19900001	20100000	X	18300001	20100000	1800000	200000	48.95031869826078	95.0%	0.4527242242242242	-2.590792587417716
X	16500001	16800000	X	14000001	16800000	2800000	300000	34.11125884192631	95.0%	0.6283193193193193	-1.4307296501435398
X	13500001	13650000	X	13500001	16800000	3300000	150000	24.704848372380905	95.0%	0.6613288288288288	-1.948678750402068
X	19550001	19850000	X	17250001	19850000	2600000	300000	31.547595788590133	95.0%	0.83	-2.406606985457932
X	23700001	23950000	X	20350001	23950000	3600000	250000	24.780333106933767	95.0%	0.884	-3.6615318231896836
X	17650001	17850000	X	17650001	21450000	3800000	200000	21.700957136603908	95.0%	0.6661661661661662	-1.7819004805949166
X	17950001	18250000	X	17950001	21550000	3600000	300000	24.67369456767395	95.0%	0.663	-2.3588672815367495
X	21400001	21650000	X	21400001	23400000	2000000	250000	35.055738569271796	95.0%	0.5105	-1.1896405516408484
X	32150001	32300000	X	32150001	36650000	4500000	150000	17.062659078249258	95.0%	0.6856856856856857	-3.7769490171299704
X	34650001	34900000	X	34650001	36750000	2100000	250000	36.52995670212847	95.0%	0.6746746746746747	-1.760729500431879
X	34950001	35200000	X	34950001	36700000	1750000	250000	39.807368078467206	95.0%	0.742	-2.8709467666729536
X	31750001	32050000	X	31750001	37100000	5350000	300000	15.570709549836018	95.0%	0.68	-3.1816017169256403
X	25200001	25400000	X	25200001	28450000	3250000	200000	26.12222807618105	95.0%	0.6466466466466466	-2.4318551076226114
X	30650001	30900000	X	25050001	30900000	5850000	250000	13.622209242912627	95.0%	0.648	-2.16926524026221
X	51750001	51950000	X	47600001	51950000	4350000	200000	23.611377092175246	95.0%	0.8088088088088088	-7.500979403422283
X	53200001	53350000	X	46700001	53350000	6650000	150000	13.197398830558042	95.0%	0.7297297297297297	-4.64644194825915
X	48950001	49150000	X	48950001	52750000	3800000	200000	24.853099962337875	95.0%	0.7922922922922923	-4.407320863860035
X	38050001	38200000	X	38050001	40450000	2400000	150000	30.304103022913182	95.0%	0.6556556556556556	-1.2148018763673225
X	45700001	46050000	X	42750001	46050000	3300000	350000	28.38157972302209	95.0%	0.592092092092092	-3.1042489282937726
