chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
12	1660001	1730000	12	860001	1730000	870000	70000	33.292617474386255	95.0%	0.01904761904761905	4.403444784309591
12	3970001	4040000	12	3440001	4040000	600000	70000	28.598384509465028	95.0%	0.9439153439153439	-1.7606364014513385
12	1720001	1780000	12	1720001	2910000	1190000	60000	22.277622272972682	95.0%	0.15978835978835979	-0.0017188569274111185
12	4920001	4950000	12	4050001	4950000	900000	30000	20.05349856303042	95.0%	0.835978835978836	-1.2945366233346014
12	3410001	3460000	12	2940001	3460000	520000	50000	29.41278708899888	95.0%	0.9894179894179894	-2.1537656520893136
12	5050001	5090000	12	5050001	6010000	960000	40000	21.525245607349646	95.0%	0.8904761904761904	-2.583609260168324
12	3390001	3420000	12	3390001	4200000	810000	30000	25.80170915859784	95.0%	0.9386243386243386	-3.3560791435307578
12	6060001	6090000	12	4950001	6090000	1140000	30000	17.681257393810665	95.0%	0.873015873015873	-3.8971715049915465
12	3080001	3150000	12	3080001	4030000	950000	70000	21.95888452428682	95.0%	0.9312169312169312	-1.0244158653081004
12	8260001	8310000	12	7380001	8310000	930000	50000	19.212679958150677	95.0%	0.9206349206349206	-1.5741844310960886
12	6200001	6250000	12	6200001	6660000	460000	50000	48.56141682140169	95.0%	0.980952380952381	-4.629658567268994
12	7780001	7820000	12	7780001	8350000	570000	40000	26.685324916217777	95.0%	0.5185185185185185	-0.4239901668767653
12	7290001	7350000	12	6660001	7350000	690000	60000	29.768763703569306	95.0%	0.9216931216931217	-1.5771017710417221
12	6400001	6430000	12	5210001	6430000	1220000	30000	17.55293232645167	95.0%	0.9195767195767196	-2.3298217515559645
12	9400001	9440000	12	8630001	9440000	810000	40000	23.018591109647165	95.0%	0.638095238095238	-1.0244315546722604
12	8490001	8530000	12	8490001	9400000	910000	40000	19.888095883513355	95.0%	0.8126984126984127	-1.7336243130353222
12	9600001	9640000	12	9600001	10130000	530000	40000	32.496715241621345	95.0%	0.783068783068783	-1.422531296912595
12	8330001	8400000	12	7550001	8400000	850000	70000	25.628291620627262	95.0%	0.4158730158730159	-0.7129555974454347
12	7600001	7630000	12	7600001	8500000	900000	30000	18.220725108616367	95.0%	0.6947089947089946	-1.274458295934265
12	8420001	8450000	12	7440001	8450000	1010000	30000	17.99442363319409	95.0%	0.9481481481481482	-3.330344464904254
12	9280001	9340000	12	8700001	9340000	640000	60000	27.956130601577613	95.0%	0.8661375661375661	-1.2366833265865862
12	8600001	8630000	12	8010001	8630000	620000	30000	26.585286353258237	95.0%	0.3253968253968254	-2.608894446718028
12	8730001	8790000	12	7880001	8790000	910000	60000	19.28835169938547	95.0%	0.7915343915343915	-0.7428242064351611
12	10300001	10350000	12	10300001	10890000	590000	50000	31.966680596479712	95.0%	0.9682539682539683	-3.6255282007414054
12	7750001	7800000	12	7010001	7800000	790000	50000	27.84559526762012	95.0%	0.3142857142857143	-0.006944514276106511
12	8800001	8850000	12	8100001	8850000	750000	50000	19.014825125815516	95.0%	0.891005291005291	-0.8952259613457845
12	9050001	9110000	12	8010001	9110000	1100000	60000	18.742288949768028	95.0%	0.7597883597883598	-1.2990195046065407
12	9560001	9590000	12	8780001	9590000	810000	30000	24.673337863157645	95.0%	0.9291005291005291	-1.5185991258542035
12	7550001	7580000	12	7550001	8500000	950000	30000	19.610521717256187	95.0%	0.819047619047619	-1.6340069280785823
12	12890001	12930000	12	11700001	12930000	1230000	40000	17.250302456030475	95.0%	0.9714285714285714	-6.74357647629252
12	10400001	10460000	12	9920001	10460000	540000	60000	30.409718919000998	95.0%	0.3783068783068783	-1.0102527013030829
12	11610001	11660000	12	10440001	11660000	1220000	50000	17.683756426523438	95.0%	0.08888888888888889	0.30527722340363017
12	9110001	9180000	12	9110001	9640000	530000	70000	33.133009591572815	95.0%	0.8793650793650793	-1.1476234248105304
12	9510001	9550000	12	9070001	9550000	480000	40000	36.11335375304249	95.0%	0.5021164021164021	-0.9709793684661951
12	10940001	10980000	12	10160001	10980000	820000	40000	18.67019889840041	95.0%	0.8756613756613757	-1.6629453365617404
12	10550001	10600000	12	9950001	10600000	650000	50000	32.28880646370277	95.0%	0.9703703703703703	-2.915493413289035
12	14860001	14900000	12	13860001	14900000	1040000	40000	16.7079007162537	95.0%	0.926984126984127	-2.4828528165564236
12	11640001	11670000	12	11640001	12750000	1110000	30000	13.287970840895582	95.0%	0.9576719576719577	-3.8745928478033234
12	12830001	12870000	12	11710001	12870000	1160000	40000	23.27517727889944	95.0%	0.05555555555555555	1.7524053520526008
12	14570001	14640000	12	14570001	15000000	430000	70000	39.19402920855377	95.0%	0.8867724867724868	-1.1067013978573967
12	13910001	13970000	12	13460001	13970000	510000	60000	32.417828225349545	95.0%	0.8571428571428571	-0.7004316017654613
12	14740001	14780000	12	14740001	15420000	680000	40000	23.10132463583782	95.0%	0.7402116402116402	-1.0416407314134013
12	14910001	14950000	12	14910001	16050000	1140000	40000	17.945710271295916	95.0%	0.926984126984127	-3.2033664011594802
12	13170001	13240000	12	13170001	13860000	690000	70000	31.63957609477939	95.0%	0.19153439153439153	-0.7601510915053653
12	13830001	13890000	12	13830001	14300000	470000	60000	35.11747641024264	95.0%	0.8126984126984127	-0.8110265731591351
12	15730001	15760000	12	14980001	15760000	780000	30000	19.323655035015957	95.0%	0.7793650793650794	-1.3560295454694102
12	15990001	16030000	12	15320001	16030000	710000	40000	32.80964810565116	95.0%	0.11005291005291006	0.19688974002109164
12	14520001	14560000	12	14520001	16080000	1560000	40000	13.266379125865683	95.0%	0.8470899470899471	-1.100277490778417
12	15660001	15730000	12	15660001	16450000	790000	70000	23.32524069225663	95.0%	0.9650793650793651	-3.3284425345855335
12	16130001	16180000	12	16130001	16990000	860000	50000	20.47772132244915	95.0%	0.6084656084656085	-0.8475496269715708
12	16580001	16630000	12	16580001	17480000	900000	50000	20.454932361787694	95.0%	0.8809523809523809	-2.5290767166041057
12	16930001	16960000	12	16930001	17820000	890000	30000	20.14928497087818	95.0%	0.6486772486772486	-1.4942540442672592
12	18270001	18300000	12	18270001	18980000	710000	30000	18.94157411276871	95.0%	0.6571428571428571	-0.6805767110164984
12	16480001	16530000	12	15670001	16530000	860000	50000	20.226081200387377	95.0%	0.2105820105820106	0.2456202587551563
12	18130001	18160000	12	17310001	18160000	850000	30000	18.642149736212836	95.0%	0.7693121693121693	-1.2560638286321983
12	15330001	15370000	12	15330001	16290000	960000	40000	17.422449312522872	95.0%	0.8380952380952381	-1.5007866461690988
12	15380001	15420000	12	15380001	16290000	910000	40000	19.281315336673313	95.0%	0.8105820105820106	-1.9267998188939877
12	16220001	16290000	12	16220001	17500000	1280000	70000	15.189553608016064	95.0%	0.8888888888888888	-2.407023628384233
12	16790001	16830000	12	16790001	18110000	1320000	40000	14.518461959490153	95.0%	0.6962962962962963	-2.171636753032844
12	18440001	18490000	12	18440001	19250000	810000	50000	24.008217116115084	95.0%	0.928042328042328	-4.385397040495372
12	18380001	18430000	12	18380001	19470000	1090000	50000	20.284202544420914	95.0%	0.0962962962962963	2.041210595399983
12	18030001	18070000	12	17350001	18070000	720000	40000	21.948231228653025	95.0%	0.8666666666666667	-1.7152268869503815
12	18080001	18130000	12	17310001	18130000	820000	50000	19.85363872872268	95.0%	0.8465608465608465	-1.472868746686975
