chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
19	8000001	8300000	19	5900001	8300000	2400000	300000	86.04960840368155	95.0%	0.7695000000000001	-2.984287659206828
19	21050001	21300000	19	21050001	24550000	3500000	250000	55.187619151096854	95.0%	0.8905000000000001	-8.02439001441465
19	9350001	9700000	19	9350001	12600000	3250000	350000	59.08496322407178	95.0%	0.6266266266266266	-1.2732060126603746
19	9800001	10100000	19	9800001	12550000	2750000	300000	56.85674372035103	95.0%	0.7197197197197197	-1.231837660810232
19	8600001	8800000	19	8600001	22550000	13950000	200000	16.975832516852943	95.0%	0.801	-5.011959435890073
19	5250001	5600000	19	5250001	7050000	1800000	350000	112.81160465148118	95.0%	0.7158398398398398	-1.0750798081070494
19	30150001	30500000	19	28100001	30500000	2400000	350000	72.38537935970074	95.0%	0.8734999999999999	-2.1319746880072494
19	20650001	20800000	19	20650001	24200000	3550000	150000	57.30563434811012	95.0%	0.583	-5.599236661867862
19	42100001	42400000	19	40100001	42400000	2300000	300000	85.18316378673494	95.0%	0.43522472472472473	-0.5426700226161463
19	31650001	31850000	19	27750001	31850000	4100000	200000	46.27889450982908	95.0%	0.729	-4.632350080345496
19	32800001	33100000	19	32800001	35250000	2450000	300000	74.5832751306467	95.0%	0.7607607607607607	-1.7520730632526276
19	43750001	44000000	19	28150001	44000000	15850000	250000	14.90959435442181	95.0%	0.7687687687687688	-9.060781627339427
19	41650001	42000000	19	41650001	44100000	2450000	350000	83.03914177908767	95.0%	0.754	-1.2449919841936914
19	39450001	39750000	19	39450001	41550000	2100000	300000	100.33097716243014	95.0%	0.7507507507507507	-1.0868464331269523
19	48300001	48550000	19	46600001	48550000	1950000	250000	113.11512775734627	95.0%	0.86	-2.6503966231729974
19	38450001	38700000	19	36850001	38700000	1850000	250000	103.03160291793058	95.0%	0.712	-1.2736679600609524
19	42550001	42900000	19	38500001	42900000	4400000	350000	49.66022705262238	95.0%	0.796	-2.4714789315244645
19	39800001	40000000	19	39800001	44000000	4200000	200000	44.786673621406415	95.0%	0.8693693693693694	-2.6095069629093746
19	41350001	41600000	19	41350001	43800000	2450000	250000	82.68758082820106	95.0%	0.595	-1.199856509179223
19	56050001	56200000	19	51950001	56200000	4250000	150000	49.864385658493624	95.0%	0.8598598598598599	-4.55024412232913
19	55600001	55750000	19	51450001	55750000	4300000	150000	38.99648825795086	95.0%	0.814	-2.980994470149939
19	56550001	56850000	19	53650001	56850000	3200000	300000	63.21992650779305	95.0%	0.5017362362362363	-2.9793503536694748
19	52250001	52400000	19	52250001	59000000	6750000	150000	32.37052854077635	95.0%	0.803	-6.186999351453999
19	54200001	54350000	19	54200001	57600000	3400000	150000	52.03077184583833	95.0%	0.8734369369369369	-3.850489457935048
19	56000001	56150000	19	56000001	58400000	2400000	150000	68.01954345534527	95.0%	0.8453453453453453	-1.89124139574559
19	22750001	23100000	19	19850001	23100000	3250000	350000	63.02398555389675	96.0%	0.827	-8.309509165348615
19	23200001	23400000	19	19900001	23400000	3500000	200000	56.206642354530814	96.0%	0.8339194194194194	-6.154403789248707
19	14250001	14450000	19	13050001	14450000	1400000	200000	144.8787086833527	96.0%	0.9335	-4.03815626283094
19	12700001	12950000	19	8850001	12950000	4100000	250000	53.794023627258696	96.0%	0.8079054054054055	-3.126731952970424
19	19700001	19950000	19	19700001	22750000	3050000	250000	68.36207362039576	96.0%	0.8698698698698699	-6.773502750621314
19	21350001	21600000	19	21350001	24550000	3200000	250000	59.1309978216013	96.0%	0.8408408408408408	-3.6228871609662034
19	32700001	33050000	19	29300001	33050000	3750000	350000	56.30418354143045	96.0%	0.978	-11.529796773258877
19	24450001	24650000	19	19750001	24650000	4900000	200000	60.474806366756816	96.0%	0.9495	
19	33100001	33350000	19	31150001	33350000	2200000	250000	80.72884775942264	96.0%	0.8714999999999999	-2.6859284900151503
19	34700001	35050000	19	33200001	35050000	1850000	350000	106.98726039750147	96.0%	0.976	-2.842963305651771
19	42950001	43150000	19	29600001	43150000	13550000	200000	14.993301584403897	96.0%	0.764	-6.702709151162312
19	54150001	54350000	19	52300001	54350000	2050000	200000	89.61574599268016	96.0%	0.879	-2.484336773291188
19	41350001	41650000	19	40000001	41650000	1650000	300000	122.29908925205065	96.0%	0.881	-2.3814745221132534
19	41050001	41300000	19	40000001	41300000	1300000	250000	145.42130961020246	96.0%	0.9005000000000001	-2.5250550513119188
19	45000001	45250000	19	43100001	45250000	2150000	250000	89.29375035350071	96.0%	0.903	-2.3917562987927172
19	56250001	56500000	19	53650001	56500000	2850000	250000	58.20409202483594	96.0%	0.8568568568568569	-3.203193984975074
19	24100001	24400000	19	20350001	24400000	4050000	300000	58.04453362592363	97.0%	0.862	-12.51093023392052
19	30600001	30950000	19	30600001	33000000	2400000	350000	80.97560793711193	97.0%	0.7192192192192193	-3.4061037270517076
19	30150001	30500000	19	30150001	33550000	3400000	350000	61.189538037586146	97.0%	0.8093093093093093	-2.7661763343876973
19	41700001	42000000	19	40100001	42000000	1900000	300000	107.31539533115118	97.0%	0.949	-2.2228268142547134
19	58450001	58650000	19	56900001	58650000	1750000	200000	127.3038997852863	97.0%	0.8738738738738738	-12.68009566954515
19	58750001	58950000	19	56900001	58950000	2050000	200000	100.7442265405696	97.0%	0.949	-3.960559936701848
19	31000001	31250000	19	29350001	31250000	1900000	250000	83.6295435537166	98.0%	0.7464999999999999	-1.9841236445557286
19	56250001	56500000	19	56250001	57550000	1300000	250000	139.79487347935464	98.0%	0.8563563563563563	-2.671663969517705
19	56800001	56950000	19	56800001	58600000	1800000	150000	93.62060881233818	98.0%	0.914914914914915	-2.215813526914322
19	56550001	56800000	19	56550001	58600000	2050000	250000	94.62831396558923	98.0%	0.9319319319319319	-5.1407237061950815
